timestamp,side,price,size,pnl,balance_after
2025-09-16 15:45,BUY,116644.64,0.085730,0.00,10000.00
2025-09-16 17:40,SELL,116726.07,0.085730,6.98,10006.98
2025-09-16 18:20,BUY,116949.26,0.085567,0.00,10006.98
2025-09-16 19:45,SELL,116738.52,0.085567,-18.03,9988.95
2025-09-16 22:25,BUY,116758.87,0.085552,0.00,9988.95
2025-09-16 23:30,SELL,116576.00,0.085552,-15.64,9973.30
2025-09-17 01:30,BUY,116612.75,0.085525,0.00,9973.30
2025-09-17 04:20,SELL,117003.69,0.085525,33.44,10006.74
2025-09-17 21:30,BUY,116595.98,0.085824,0.00,10006.74
2025-09-18 01:05,SELL,117470.81,0.085824,75.08,10081.82
2025-09-18 03:45,BUY,117229.51,0.086001,0.00,10081.82
2025-09-18 04:05,SELL,117094.68,0.086001,-11.60,10070.22
2025-09-18 08:45,BUY,117241.03,0.085893,0.00,10070.22
2025-09-18 11:35,SELL,117412.52,0.085893,14.73,10084.95
2025-09-18 12:20,BUY,117817.21,0.085598,0.00,10084.95
2025-09-18 13:40,SELL,117504.42,0.085598,-26.77,10058.18
2025-09-18 14:25,BUY,117804.67,0.085380,0.00,10058.18
2025-09-18 15:35,SELL,117354.99,0.085380,-38.39,10019.79
2025-09-21 03:55,BUY,115890.83,0.086459,0.00,10019.79
2025-09-21 04:30,SELL,115663.19,0.086459,-19.68,10000.11
2025-09-21 13:55,BUY,115677.25,0.086448,0.00,10000.11
2025-09-21 15:25,SELL,115509.78,0.086448,-14.48,9985.63
2025-09-21 18:55,BUY,115611.19,0.086373,0.00,9985.63
2025-09-21 19:35,SELL,115295.74,0.086373,-27.25,9958.38
2025-09-23 08:00,BUY,113052.03,0.088087,0.00,9958.38
2025-09-23 09:35,SELL,113038.21,0.088087,-1.22,9957.16
2025-09-23 10:10,BUY,113255.65,0.087918,0.00,9957.16
2025-09-23 10:25,SELL,112889.99,0.087918,-32.15,9925.02
2025-09-23 11:45,BUY,112907.76,0.087904,0.00,9925.02
2025-09-23 12:10,SELL,112642.62,0.087904,-23.31,9901.71
2025-09-24 05:25,BUY,112612.74,0.087927,0.00,9901.71
2025-09-24 12:30,SELL,113620.02,0.087927,88.57,9990.28
2025-09-24 16:50,BUY,113617.03,0.087929,0.00,9990.28
2025-09-24 18:00,SELL,113395.19,0.087929,-19.51,9970.77
2025-09-26 23:25,BUY,109556.26,0.091011,0.00,9970.77
2025-09-27 02:15,SELL,109627.44,0.091011,6.48,9977.25
2025-09-27 14:15,BUY,109455.41,0.091154,0.00,9977.25
