timestamp,open,high,low,close,volume
1758060000000,238.62,238.8,238.28,238.51,4829.07297113
1758060300000,238.52,239.02,238.52,238.95,5442.90088111
1758060600000,238.95,239.04,238.63,238.7,3949.41479907
1758060900000,238.67,238.68,238.24,238.31,3021.90877435
1758061200000,238.32,238.46,238.13,238.42,4077.43467368
1758061500000,238.43,238.5,237.82,237.92,5769.85095187
1758061800000,237.93,238.03,237.36,237.62,3946.65251193
1758062100000,237.61,238.22,237.59,238.16,2133.18705295
1758062400000,238.16,238.38,238.11,238.33,3712.14731467
1758062700000,238.33,238.57,238.22,238.55,3154.0122641
1758063000000,238.58,238.58,238.07,238.21,2508.48013176
1758063300000,238.21,238.24,237.93,237.98,3890.96561928
1758063600000,237.98,238.09,237.5,237.66,13687.29357609
1758063900000,237.66,238.07,237.53,238.03,5570.76643993
1758064200000,238.04,238.16,237.79,237.96,4612.31826352
1758064500000,237.96,238.25,237.89,237.89,2644.95185893
1758064800000,237.89,237.96,237.63,237.72,4267.06404218
1758065100000,237.72,237.75,237.46,237.65,4184.09749363
1758065400000,237.64,237.93,237.46,237.76,2568.6419015
1758065700000,237.77,237.92,237.62,237.75,2261.38949954
1758066000000,237.76,237.8,237.21,237.41,4163.29878717
1758066300000,237.4,237.89,237.11,237.17,4915.32960721
1758066600000,237.17,237.21,236.55,236.93,5376.47337617
1758066900000,236.93,237.02,236.69,237.01,4909.70188881
1758067200000,237.01,237.09,236.65,237.05,3752.9205948
1758067500000,237.04,237.05,236.34,236.63,3505.31930684
1758067800000,236.63,236.64,235.89,236.01,6059.89697135
1758068100000,236.02,236.69,236.02,236.56,4581.4995515
1758068400000,236.57,236.94,236.35,236.63,8043.3155038
1758068700000,236.64,236.76,236.33,236.36,4647.66603021
1758069000000,236.36,236.55,236.13,236.16,9521.33983028
1758069300000,236.16,236.5,236.06,236.21,3658.5009634
1758069600000,236.21,236.46,236.17,236.45,4798.34763408
1758069900000,236.46,236.46,236.25,236.35,4183.03561517
1758070200000,236.34,236.56,235.64,236.3,21804.81413849
1758070500000,236.3,236.54,236.19,236.28,2872.94113011
1758070800000,236.3,236.66,236.24,236.53,3561.72696719
1758071100000,236.54,236.77,236.3,236.56,11575.44341894
1758071400000,236.56,236.74,236.46,236.67,3512.44253827
1758071700000,236.67,236.92,236.21,236.91,3099.11318846
1758072000000,236.91,237.05,236.31,236.67,2984.27012845
1758072300000,236.7,236.89,236.3,236.82,3285.85447508
1758072600000,236.81,236.88,236.12,236.13,3572.08061867
1758072900000,236.14,236.48,236.03,236.34,2827.98885143
1758073200000,236.33,236.57,236.2,236.27,2152.21200599
1758073500000,236.27,236.43,236.14,236.24,3568.20907859
1758073800000,236.24,236.45,235.91,236.08,2926.23433429
1758074100000,236.08,236.38,236.03,236.38,3093.38725719
1758074400000,236.38,236.39,235.89,236.11,4646.11803239
1758074700000,236.1,236.23,235.99,236.19,6907.64283107
1758075000000,236.19,236.56,236.16,236.54,4066.9382076
1758075300000,236.53,236.71,236.24,236.66,2750.68754347
1758075600000,236.65,236.67,236.14,236.37,2970.89973537
1758075900000,236.37,236.64,236.35,236.6,3939.01350928
1758076200000,236.6,236.88,236.41,236.68,3741.04222873
1758076500000,236.69,237.38,236.69,237.18,5909.25883607
1758076800000,237.17,237.35,237.05,237.3,2836.04301309
1758077100000,237.3,237.58,236.97,237.32,4992.07691421
1758077400000,237.31,237.9,237.11,237.26,7005.8332706
1758077700000,237.26,237.26,236.43,236.43,4336.67387615
1758078000000,236.43,236.47,235.77,236.18,7512.97779076
1758078300000,236.16,236.52,235.98,236.2,5333.61055206
1758078600000,236.2,236.48,236.15,236.29,3936.95008227
1758078900000,236.28,236.59,236.17,236.31,3689.95728805
1758079200000,236.31,236.31,236.03,236.1,4376.4205969
1758079500000,236.1,236.25,235.93,236.06,4152.4360794
1758079800000,236.07,236.08,235.26,235.62,8191.10064185
1758080100000,235.62,235.7,235.02,235.1,4667.39368456
1758080400000,235.08,235.21,234.84,234.99,2553.31373524
1758080700000,234.98,235.11,234.33,234.89,7122.35112136
1758081000000,234.88,234.88,234.19,234.55,3160.93572431
1758081300000,234.55,234.59,233.95,234.19,15958.94141941
1758081600000,234.19,234.55,234.08,234.5,4430.59041483
